@relation c_matrix-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {true,false}

@data
7,2,1,0,0,1,0,1,0,1,1,0,true
3,1,0,0,0,1,0,2,412,2,16,0,false
3,1,1,0,0,0,1,0,196,2,4,0,false
3,1,0,0,0,0,0,0,441,3,15,0,true
6,1,2,0,0,1,5,0,412,2,16,0,false
1,1,0,0,0,0,0,0,4,2,14,0,false
3,2,0,0,0,1,1,1,482,2,28,0,false
3,2,0,0,0,1,0,3,1,1,1,0,false
3,1,0,0,0,0,0,0,74,1,11,0,false
1,1,0,0,0,0,0,0,4,2,14,0,false
13,3,4,3,0,1,0,4,84,3,6,0,true
3,1,0,0,0,1,14,0,226,1,1,0,true
1,1,0,0,0,0,0,0,4,2,14,0,false
3,1,0,0,0,1,0,1,196,1,6,0,true
5,1,0,0,0,1,1,1,196,2,4,0,false
4,1,0,0,0,1,0,0,225,2,9,0,true
8,2,1,1,0,1,0,1,84,1,1,0,true
3,1,0,0,0,1,0,0,225,2,9,0,true
3,1,0,0,0,1,3,0,482,2,18,0,false
3,1,0,0,0,0,0,0,4,2,6,0,false
3,1,0,0,0,1,0,2,4,2,14,0,false
3,1,1,0,0,0,1,0,412,3,20,0,true
3,1,0,0,0,1,0,0,412,2,16,0,false
8,2,0,0,0,2,0,0,412,2,16,0,false
8,1,2,0,0,0,2,3,482,2,52,0,false
9,3,0,0,0,3,0,2,4,2,14,0,false
3,1,0,0,0,1,5,0,196,1,2,0,true
3,1,0,0,0,1,0,0,412,2,16,0,false
1,1,0,0,0,0,0,0,412,1,3,0,false
3,1,0,0,0,0,0,0,412,2,13,0,false
3,1,0,0,0,0,0,2,196,1,5,0,true
3,1,0,0,0,1,2,2,412,2,16,0,false
1,1,0,0,0,0,0,0,4,2,14,0,false
8,2,1,0,0,1,0,2,196,3,14,0,true
