@relation openjpa_Train_R2-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.unsupervised.attribute.StringToNominal-R1

@attribute loc numeric
@attribute wmc numeric
@attribute assignmentsQty numeric
@attribute mathOperationsQty numeric
@attribute qtyTryCatch numeric
@attribute qtyReturn numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute age numeric
@attribute nAuth numeric
@attribute nr numeric
@attribute nSmell numeric
@attribute buggy {false}

@data
1,1,0,0,0,0,0,0,45,2,4,0,false
3,1,0,0,0,1,2,2,37,2,3,0,false
3,1,0,0,0,0,0,0,45,2,5,0,false
21,8,2,0,2,1,0,3,37,2,6,4,false
3,2,0,0,0,1,157,1,45,3,6,0,false
3,1,0,0,0,1,1,1,37,2,4,0,false
7,6,0,0,0,5,2,3,45,1,4,2,false
12,5,3,0,0,1,0,0,37,1,2,1,false
4,3,1,0,0,0,0,1,0,1,5,0,false
10,4,1,0,0,3,0,2,45,3,8,0,false
5,3,0,0,0,0,0,4,37,2,3,0,false
3,1,0,0,0,1,0,0,45,3,13,0,false
1,1,0,0,0,0,1,0,45,2,7,0,false
9,7,2,0,0,5,0,4,45,3,9,0,false
5,2,2,0,0,0,4,1,45,3,10,0,false
1,1,0,0,0,0,1,0,0,1,4,0,false
3,1,0,0,0,1,0,0,45,2,5,0,false
3,1,0,0,0,1,0,0,45,3,6,0,false
34,9,14,0,0,1,4,18,45,3,11,3,false
5,3,0,0,0,3,3,2,45,3,8,1,false
16,6,10,3,0,2,0,2,45,1,4,1,false
3,1,0,0,0,0,0,0,0,1,5,0,false
3,1,0,0,0,0,0,1,45,3,10,0,false
3,1,0,0,0,1,0,1,45,2,7,0,false
4,1,0,0,0,0,0,1,0,1,8,0,false
5,2,0,0,0,2,0,1,37,2,2,0,false
3,1,0,0,0,1,1,2,37,2,6,0,false
67,29,26,2,0,3,0,0,45,2,10,4,false
3,1,0,0,0,1,0,0,0,1,4,0,false
3,1,0,0,0,1,1,0,45,2,4,1,false
3,2,0,0,0,0,0,1,45,2,5,0,false
3,2,0,0,0,1,0,0,37,1,2,0,false
3,1,0,0,0,1,0,1,0,1,5,0,false
3,1,1,0,0,0,0,0,45,1,4,0,false
3,3,0,0,0,1,2,0,0,1,6,0,false
3,1,0,1,0,1,0,0,0,1,5,0,false
3,1,0,0,0,1,0,1,37,2,2,0,false
3,1,0,0,0,0,0,1,37,2,2,1,false
3,1,0,0,0,1,1,0,37,2,6,0,false
3,1,0,0,0,1,0,0,0,1,6,0,false
3,1,0,0,0,1,1,0,45,1,4,0,false
3,2,0,0,0,1,0,1,45,2,6,0,false
3,1,1,0,0,0,1,0,37,1,3,0,false
8,2,3,0,0,0,0,0,37,2,2,0,false
5,2,1,0,0,1,2,0,45,2,5,0,false
3,1,0,0,0,1,0,0,37,2,4,0,false
3,1,0,0,0,1,0,1,45,2,8,0,false
25,1,7,0,0,0,2,1,45,1,3,19,false
3,1,0,0,0,1,5,0,37,1,2,0,false
4,1,0,0,0,0,0,1,0,1,8,0,false
4,1,0,0,0,0,3,1,37,2,4,0,false
3,1,1,0,0,0,0,0,0,1,4,0,false
3,1,0,0,0,1,0,0,0,1,4,0,false
7,2,1,0,0,1,0,1,45,1,4,0,false
3,1,0,0,0,1,0,1,37,2,4,0,false
3,1,0,0,0,1,0,0,37,2,4,0,false
4,3,0,0,0,0,3,2,37,2,3,1,false
18,9,7,0,0,1,5,4,37,2,3,4,false
3,1,0,0,0,1,0,1,45,1,4,1,false
