release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,getSelect,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,SelectResultObjectProvider,3,1,0,0,0,1,0,0,37,2,2,0,false
0.9.6,addLifecycleListener,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Broker.java,Broker,1,1,0,0,0,0,1,0,185,2,5,0,false
0.9.0,getDataStoreIdSequence,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingStoreManager.java,DelegatingStoreManager,3,1,0,0,0,1,1,1,45,3,5,0,false
0.9.6,getProjectionAliases,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,ExpressionStoreQuery$AbstractExpressionExecutor,3,1,0,0,0,1,0,1,185,1,9,1,false
0.9.0,getAddColumnSQL,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,DBDictionary,6,3,1,1,0,3,1,2,37,2,6,0,false
0.9.0,setFloat,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java,DelegatingCallableStatement,3,1,0,0,0,0,0,0,0,1,6,0,false
0.9.0,error,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/XMLMetaDataParser.java,XMLMetaDataParser,3,1,0,0,0,0,0,2,0,2,9,0,false
0.9.6,isLRS,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryImpl.java,QueryImpl,4,5,1,1,0,1,4,1,185,3,15,0,false
0.9.0,isStoreActive,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,BrokerImpl,9,2,0,0,1,1,0,2,45,3,11,0,false
0.9.6,embed,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,DelegatingBroker,8,2,0,0,1,1,0,1,185,2,8,1,false
0.9.0,changed,openjpa-kernel/src/main/java/org/apache/openjpa/util/AbstractChangeTracker.java,AbstractChangeTracker,5,2,0,0,0,1,0,2,45,1,4,0,false
0.9.0,setDefaultGroupName,openjpa-kernel/src/main/java/org/apache/openjpa/meta/FetchGroup.java,FetchGroup,3,1,1,0,0,0,0,0,45,3,7,0,false
0.9.0,getType,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java,Args,3,1,0,0,0,1,0,0,37,2,3,0,false
0.9.6,proxyDetachedDeserialized,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ObjectIdStateManager.java,ObjectIdStateManager,3,1,0,0,0,0,0,0,185,2,9,0,false
0.9.0,isNew,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingBroker.java,DelegatingBroker,8,2,0,0,1,1,0,2,45,3,6,1,false
0.9.0,setLRSSize,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,JDBCConfiguration,1,1,0,0,0,0,0,0,37,2,2,0,false
